Experiment,Source_Domain,Test_Domain,Trial_Number,mAP,Epochs_In_Order,Completed,Number_Epochs_Completed,Is_Rerun,Rerun_Title
Cycada,EM,NW,2,0.839874816658128,True,True,300,False,DNE
Cycada,EM,NW,3,0.8572140529758281,True,True,300,False,DNE
Cycada,EM,NW,4,0.8097231118997203,True,True,300,False,DNE
Cycada,EM,SW,0,0.5322333715455019,True,True,300,False,DNE
Cycada,EM,SW,1,0.5594091357898946,True,True,300,False,DNE
Cycada,EM,SW,2,0.5569957729449309,True,True,300,False,DNE
Cycada,EM,SW,3,0.5940317663788901,True,True,300,False,DNE
Cycada,EM,SW,4,0.5780472901544026,True,True,300,False,DNE
Cycada,NW,EM,0,0.8885420041954986,True,True,300,False,DNE
Cycada,NW,EM,1,0.9287369652696827,True,True,300,False,DNE
Cycada,NW,EM,2,0.8618748586115532,True,True,300,False,DNE
Cycada,NW,EM,3,0.8887455505565003,True,True,300,False,DNE
Cycada,NW,EM,4,0.8909811801411023,True,True,300,False,DNE
Cycada,NW,NW,0,0.9442002340476938,True,True,300,False,DNE
Cycada,NW,NW,1,0.9367312136286476,True,True,300,False,DNE
Cycada,NW,NW,2,0.9577584187485518,True,True,300,False,DNE
Cycada,NW,NW,3,0.9538351040517616,True,True,300,False,DNE
Cycada,NW,NW,4,0.9454032113293176,True,True,300,False,DNE
Cycada,NW,SW,0,0.7615146900734423,True,True,300,False,DNE
Cycada,NW,SW,1,0.702239051313714,True,True,300,False,DNE
Cycada,NW,SW,2,0.752251861665276,True,True,300,False,DNE
Cycada,NW,SW,3,0.7353403812377033,True,True,300,False,DNE
Cycada,NW,SW,4,0.70027053334754,True,True,300,False,DNE
Cycada,SW,EM,0,0.6841415342072825,True,True,300,False,DNE
Cycada,SW,EM,1,0.6762854285457391,True,True,300,False,DNE
Cycada,SW,EM,2,0.6862810599103847,True,True,300,False,DNE
Cycada,SW,EM,3,0.7045119988396948,True,True,300,False,DNE
Cycada,SW,EM,4,0.7605744008126812,True,True,300,False,DNE
Cycada,SW,NW,0,0.7516643934844647,True,True,300,False,DNE
Cycada,SW,NW,1,0.8405762720282384,True,True,300,False,DNE
Cycada,SW,NW,2,0.7852608963452838,True,True,300,False,DNE
Cycada,SW,NW,3,0.7923713371119375,True,True,300,False,DNE
Cycada,SW,NW,4,0.7753784627096055,True,True,300,False,DNE
Cycada,SW,SW,0,0.7304346264414631,True,True,300,False,DNE
Cycada,SW,SW,1,0.7248406034390089,True,True,300,False,DNE
Cycada,SW,SW,2,0.7662599408608088,True,True,300,False,DNE
Cycada,SW,SW,3,0.7557096023809098,True,True,300,False,DNE
Cycada,SW,SW,4,0.7679751520971452,True,True,300,False,DNE
Cyclegan,EM,EM,0,0.9490380666360172,True,True,300,False,DNE
Cyclegan,EM,EM,1,0.951128801206038,True,True,300,False,DNE
Cyclegan,EM,EM,2,0.9352932749472148,True,True,300,False,DNE
Cyclegan,EM,EM,3,0.9138968555697946,True,True,300,False,DNE
Cyclegan,EM,EM,4,0.9395595098930388,True,True,300,False,DNE
Cyclegan,EM,NW,0,0.8473030558121937,True,True,300,False,DNE
Cyclegan,EM,NW,1,0.7927260421235393,True,True,300,False,DNE
Cyclegan,EM,NW,2,0.8259950490617761,True,True,300,False,DNE
Cyclegan,EM,NW,3,0.8198083534128398,True,True,300,False,DNE
Cyclegan,EM,NW,4,0.840725809296984,True,True,300,False,DNE
Cyclegan,EM,SW,0,0.5473027825295671,True,True,300,False,DNE
Cyclegan,EM,SW,1,0.5674484583081726,True,True,300,False,DNE
Cyclegan,EM,SW,2,0.576793621380917,True,True,300,False,DNE
Cyclegan,EM,SW,3,0.622826517930012,True,True,300,False,DNE
Cyclegan,EM,SW,4,0.5966974577201787,True,True,300,False,DNE
Cyclegan,NW,EM,0,0.922029034725329,True,True,300,False,DNE
Cyclegan,NW,EM,1,0.913007314453526,True,True,300,False,DNE
Cyclegan,NW,EM,2,0.9163346449229928,True,True,300,False,DNE
Cyclegan,NW,EM,3,0.910094983961693,True,True,300,False,DNE
Cyclegan,NW,EM,4,0.9154021571342996,True,True,300,False,DNE
Cyclegan,NW,NW,0,0.9521603836721486,True,True,300,False,DNE
Cyclegan,NW,NW,1,0.9602456004997706,True,True,300,False,DNE
Cyclegan,NW,NW,2,0.9450116430128204,True,True,300,False,DNE
Cyclegan,NW,NW,3,0.9355932599124096,True,True,300,False,DNE
Cyclegan,NW,NW,4,0.9636288470554928,True,True,300,False,DNE
Cyclegan,NW,SW,0,0.758330161472969,True,True,300,False,DNE
Cyclegan,NW,SW,1,0.7068525368962296,True,True,300,False,DNE
Cyclegan,NW,SW,2,0.7221484582835138,True,True,300,False,DNE
Cyclegan,NW,SW,3,0.7345514308093133,True,True,300,False,DNE
Cyclegan,NW,SW,4,0.6911295831070884,True,True,300,False,DNE
Cyclegan,SW,EM,0,0.7222634295570851,True,True,300,False,DNE
Cyclegan,SW,EM,1,0.7387872293937422,True,True,300,False,DNE
Cyclegan,SW,EM,2,0.6041471694507394,True,True,300,False,DNE
Cyclegan,SW,EM,3,0.6872095974086492,True,True,300,False,DNE
Cyclegan,SW,EM,4,0.7210165062935219,True,True,300,False,DNE
Cyclegan,SW,NW,0,0.7876127593392812,True,True,300,False,DNE
Cyclegan,SW,NW,1,0.8194437369356333,True,True,300,False,DNE
Cyclegan,SW,NW,2,0.8196067981721574,True,True,300,False,DNE
Cyclegan,SW,NW,3,0.7939809964250574,True,True,300,False,DNE
Cyclegan,SW,NW,4,0.7689783355491449,True,True,300,False,DNE
Cyclegan,SW,SW,0,0.6224903624916499,True,True,300,False,DNE
Cyclegan,SW,SW,1,0.8222664407569751,True,True,300,False,DNE
Cyclegan,SW,SW,2,0.799858651843619,True,True,300,False,DNE
Cyclegan,SW,SW,3,0.8385815824142877,True,True,300,False,DNE
Cyclegan,SW,SW,4,0.8155988277104103,True,True,300,False,DNE
Lower_Bound,EM,EM,0,0.94599906043835,True,True,300,False,DNE
Lower_Bound,EM,EM,1,0.9644365757158946,True,True,300,False,DNE
Lower_Bound,EM,EM,2,0.9541593113430652,True,True,300,False,DNE
Lower_Bound,EM,EM,3,0.8699842339343885,True,True,300,False,DNE
Lower_Bound,EM,EM,4,0.9376162842245572,True,True,300,False,DNE
Lower_Bound,EM,NW,0,0.8574159128667125,True,True,300,False,DNE
Lower_Bound,EM,NW,1,0.8976644834085833,True,True,300,False,DNE
Lower_Bound,EM,NW,2,0.6612962784951146,True,True,300,False,DNE
Lower_Bound,EM,NW,3,0.877399571200485,True,True,300,False,DNE
Lower_Bound,EM,NW,4,0.8755577897463344,True,True,300,False,DNE
Lower_Bound,EM,SW,0,0.61075432519234,True,True,300,False,DNE
Lower_Bound,EM,SW,1,0.5838170973940112,True,True,300,False,DNE
Lower_Bound,EM,SW,2,0.6262702631678703,True,True,300,False,DNE
Lower_Bound,EM,SW,3,0.6136781673776008,True,True,300,False,DNE
Lower_Bound,EM,SW,4,0.690269899545424,True,True,300,False,DNE
Lower_Bound,NW,EM,0,0.9174367907494062,True,True,300,False,DNE
Lower_Bound,NW,EM,1,0.898285637858252,True,True,300,False,DNE
Lower_Bound,NW,EM,2,0.9179993816752277,True,True,300,False,DNE
Lower_Bound,NW,EM,3,0.9072245523061369,True,True,300,False,DNE
Lower_Bound,NW,EM,4,0.897139560061374,True,True,300,False,DNE
Lower_Bound,NW,NW,0,0.9656054353488775,True,True,300,False,DNE
Lower_Bound,NW,NW,1,0.9567238788024078,True,True,300,False,DNE
Lower_Bound,NW,NW,2,0.9508357892341922,True,True,300,False,DNE
Lower_Bound,NW,NW,3,0.9462405345935646,True,True,300,False,DNE
Lower_Bound,NW,NW,4,0.9598470184774512,True,True,300,False,DNE
Lower_Bound,NW,SW,0,0.7121802632392412,True,True,300,False,DNE
Lower_Bound,NW,SW,1,0.7566507630963129,True,True,300,False,DNE
Lower_Bound,NW,SW,2,0.7301640511258229,True,True,300,False,DNE
Lower_Bound,NW,SW,3,0.7477420306404319,True,True,300,False,DNE
Lower_Bound,NW,SW,4,0.7519379754220263,True,True,300,False,DNE
Lower_Bound,SW,EM,0,0.7117621481811539,True,True,300,False,DNE
Lower_Bound,SW,EM,1,0.7318256844939497,True,True,300,False,DNE
Lower_Bound,SW,EM,2,0.7378040974501305,True,True,300,False,DNE
Lower_Bound,SW,EM,3,0.7511074385688572,True,True,300,False,DNE
Lower_Bound,SW,EM,4,0.7306251404826681,True,True,300,False,DNE
Lower_Bound,SW,NW,0,0.7969697855342204,True,True,300,False,DNE
Lower_Bound,SW,NW,1,0.8255144687044572,True,True,300,False,DNE
Lower_Bound,SW,NW,2,0.8407758083084134,True,True,300,False,DNE
Lower_Bound,SW,NW,3,0.8612198797268666,True,True,300,False,DNE
Lower_Bound,SW,NW,4,0.8215485120464325,True,True,300,False,DNE
Lower_Bound,SW,SW,0,0.8244916517126812,True,True,300,False,DNE
Lower_Bound,SW,SW,1,0.8184510248399639,True,True,300,False,DNE
Lower_Bound,SW,SW,2,0.805924576492902,True,True,300,False,DNE
Lower_Bound,SW,SW,3,0.8379295367177557,True,True,300,False,DNE
Lower_Bound,SW,SW,4,0.8096851875031637,True,True,300,False,DNE
Histogram_Matching,EM,EM,0,0.9455815303549066,True,True,300,False,DNE
Histogram_Matching,EM,EM,1,0.9608564763085368,True,True,300,False,DNE
Histogram_Matching,EM,EM,2,0.9412503410881818,True,True,300,False,DNE
Histogram_Matching,EM,EM,3,0.9434607628922448,True,True,300,False,DNE
Histogram_Matching,EM,EM,4,0.9508463915153254,True,True,300,False,DNE
Histogram_Matching,EM,NW,0,0.9166409674720594,True,True,300,False,DNE
Histogram_Matching,EM,NW,1,0.8732631804949047,True,True,300,False,DNE
Histogram_Matching,EM,NW,2,0.8985753535883634,True,True,300,False,DNE
Histogram_Matching,EM,NW,3,0.9249710460993,True,True,300,False,DNE
Histogram_Matching,EM,NW,4,0.8876516632848639,True,True,300,False,DNE
Histogram_Matching,EM,SW,0,0.6529334367721219,True,True,300,False,DNE
Histogram_Matching,EM,SW,1,0.663227111437488,True,True,300,False,DNE
Histogram_Matching,EM,SW,2,0.6671604760155869,True,True,300,False,DNE
Histogram_Matching,EM,SW,3,0.6405159096034713,True,True,300,False,DNE
Histogram_Matching,EM,SW,4,0.7240024142583872,True,True,300,False,DNE
Histogram_Matching,NW,EM,0,0.92544036186029,True,True,300,False,DNE
Histogram_Matching,NW,EM,1,0.9213083586212792,True,True,300,False,DNE
Histogram_Matching,NW,EM,2,0.913381443560429,True,True,300,False,DNE
Histogram_Matching,NW,EM,3,0.9193896014686552,True,True,300,False,DNE
Histogram_Matching,NW,EM,4,0.9199503071207834,True,True,300,False,DNE
Histogram_Matching,NW,NW,0,0.9796220884642862,True,True,300,False,DNE
Histogram_Matching,NW,NW,1,0.971026411817992,True,True,300,False,DNE
Histogram_Matching,NW,NW,2,0.9519120904499146,True,True,300,False,DNE
Histogram_Matching,NW,NW,3,0.9656610731302075,True,True,300,False,DNE
Histogram_Matching,NW,NW,4,0.969746996210074,True,True,300,False,DNE
Histogram_Matching,NW,SW,0,0.7600471752665786,True,True,300,False,DNE
Histogram_Matching,NW,SW,1,0.7704473605661607,True,True,300,False,DNE
Histogram_Matching,NW,SW,2,0.7511205684135058,True,True,300,False,DNE
Histogram_Matching,NW,SW,3,0.7490724724663518,True,True,300,False,DNE
Histogram_Matching,NW,SW,4,0.7701047453383976,True,True,300,False,DNE
Histogram_Matching,SW,EM,0,0.7211550027785582,True,True,300,False,DNE
Histogram_Matching,SW,EM,1,0.7232456507392331,True,True,300,False,DNE
Histogram_Matching,SW,EM,2,0.6996849747983641,True,True,300,False,DNE
Histogram_Matching,SW,EM,3,0.7253206164749093,True,True,300,False,DNE
Histogram_Matching,SW,EM,4,0.722086769288751,True,True,300,False,DNE
Histogram_Matching,SW,NW,0,0.8186992321686939,True,True,300,False,DNE
Histogram_Matching,SW,NW,1,0.8211206021159803,True,True,300,False,DNE
Histogram_Matching,SW,NW,2,0.8203973243290926,True,True,300,False,DNE
Histogram_Matching,SW,NW,3,0.7881771927461821,True,True,300,False,DNE
Histogram_Matching,SW,NW,4,0.8168294629786275,True,True,300,False,DNE
Histogram_Matching,SW,SW,0,0.7728221111978804,True,True,300,False,DNE
Histogram_Matching,SW,SW,1,0.8025285080895319,True,True,300,False,DNE
Histogram_Matching,SW,SW,2,0.801478747171927,True,True,300,False,DNE
Histogram_Matching,SW,SW,3,0.8241021270022256,True,True,300,False,DNE
Histogram_Matching,SW,SW,4,0.8128710033916362,True,True,300,False,DNE
Gray_World,EM,EM,0,0.9160843804747024,True,True,300,False,DNE
Gray_World,EM,EM,1,0.9485169533864682,True,True,300,False,DNE
Gray_World,EM,EM,2,0.9133726213158168,True,True,300,False,DNE
Gray_World,EM,EM,3,0.9164993898649598,True,True,300,False,DNE
Gray_World,EM,EM,4,0.9222907486611052,True,True,300,False,DNE
Gray_World,EM,NW,0,0.8730851322753248,True,True,300,False,DNE
Gray_World,EM,NW,1,0.8850969264983888,True,True,300,False,DNE
Gray_World,EM,NW,2,0.8874002743219291,True,True,300,False,DNE
Gray_World,EM,NW,3,0.8894634054435728,True,True,300,False,DNE
Gray_World,EM,NW,4,0.8958827256719846,True,True,300,False,DNE
Gray_World,EM,SW,0,0.6247206527132172,True,True,300,False,DNE
Gray_World,EM,SW,1,0.677141567789374,True,True,300,False,DNE
Gray_World,EM,SW,2,0.6476645031061843,True,True,300,False,DNE
Gray_World,EM,SW,3,0.6265599411366504,True,True,300,False,DNE
Gray_World,EM,SW,4,0.7037927403849559,True,True,300,False,DNE
Gray_World,NW,EM,0,0.9019890329135718,True,True,300,False,DNE
Gray_World,NW,EM,1,0.8883133731003823,True,True,300,False,DNE
Gray_World,NW,EM,2,0.9176273506901772,True,True,300,False,DNE
Gray_World,NW,EM,3,0.9187238417425092,True,True,300,False,DNE
Gray_World,NW,EM,4,0.9333026875091956,True,True,300,False,DNE
Gray_World,NW,NW,0,0.9617503467159196,True,True,300,False,DNE
Gray_World,NW,NW,1,0.9585302094736604,True,True,300,False,DNE
Gray_World,NW,NW,2,0.9487456806451214,True,True,300,False,DNE
Gray_World,NW,NW,3,0.9703342653545128,True,True,300,False,DNE
Gray_World,NW,NW,4,0.961296709168402,True,True,300,False,DNE
Gray_World,NW,SW,0,0.6988994715657131,True,True,300,False,DNE
Gray_World,NW,SW,1,0.7267486104717022,True,True,300,False,DNE
Gray_World,NW,SW,2,0.7417921556980598,True,True,300,False,DNE
Gray_World,NW,SW,3,0.7150342767411413,True,True,300,False,DNE
Gray_World,NW,SW,4,0.6832797862331547,True,True,300,False,DNE
Gray_World,SW,EM,0,0.5603618717572041,True,True,300,False,DNE
Gray_World,SW,EM,1,0.7118673406885376,True,True,300,False,DNE
Gray_World,SW,EM,2,0.675930831076069,True,True,300,False,DNE
Gray_World,SW,EM,3,0.6536421826471197,True,True,300,False,DNE
Gray_World,SW,EM,4,0.6691398612512607,True,True,300,False,DNE
Gray_World,SW,NW,0,0.8284782360249866,True,True,300,False,DNE
